method,gamma,episodes,success_rate,collision_rate,goal_reached_rate,mean_min_clearance,median_min_clearance,mean_final_goal_distance,mean_path_length,mean_control_effort,mean_planning_time_ms
mizuta_cfm_mppi,None,100,0.98,0.01,0.99,0.9978583690524101,0.8175191879272461,0.05798987704329193,10.033575978279114,172.88115020751954,103.77159497130198
safemppi_gamma,0.2,100,0.5,0.5,1.0,0.28294158667325975,0.009357571601867676,0.04875443772878498,9.486199612617492,110.97070503234863,29.104338103556074
guided_safemppi,0.2,100,0.75,0.07,0.75,0.7521153956651687,0.6459831595420837,0.7554874685918912,9.227176492214204,125.50190837860107,46.5405114085879
