method,gamma,episodes,success_rate,collision_rate,goal_reached_rate,mean_min_clearance,median_min_clearance,mean_final_goal_distance,mean_path_length,mean_control_effort,mean_planning_time_ms
mizuta_cfm_mppi,None,25,1.0,0.0,1.0,1.0341354608535767,0.990442156791687,0.032783374190330505,9.81512773513794,168.508349609375,97.42797888722268
mizuta_safe,0.1,25,0.88,0.0,0.88,1.369655888080597,1.2541167736053467,0.2356808015704155,9.85541603088379,153.56948822021485,98.85258401790634
mizuta_safe,0.2,25,0.96,0.0,0.96,1.2699138569831847,1.1963238716125488,0.16424869943410159,9.909664077758789,166.74198577880858,98.00427681813018
mizuta_safe,0.4,25,0.96,0.0,0.96,1.1184598398208618,1.1742719411849976,0.05974845357239247,9.676618995666503,162.8843046569824,98.21281182765962
mizuta_safe,0.8,25,0.96,0.0,0.96,1.1635084199905394,1.0623199939727783,0.06021202357485891,9.827246971130371,169.05052963256836,98.5322237047367
