method,gamma,episodes,success_rate,collision_rate,goal_reached_rate,mean_min_clearance,median_min_clearance,mean_final_goal_distance,mean_path_length,mean_control_effort,mean_planning_time_ms
mizuta_cfm_mppi,None,25,1.0,0.0,1.0,1.0860020875930787,0.8270584344863892,0.03968488965183496,9.92356014251709,158.4051599884033,96.28224560199303
guided_safemppi,0.2,25,0.84,0.04,0.84,0.8028824877738953,0.6477383375167847,0.36225514315068724,9.731302604675292,128.74715881347657,43.674671795684844
cfm_proposal_mppi,0.2,25,0.8,0.04,0.84,0.9197174644470215,0.7662144899368286,0.8841943310946226,10.278220272064209,151.49012145996093,109.96949136117473
