method,gamma,episodes,success_rate,collision_rate,goal_reached_rate,mean_min_clearance,median_min_clearance,mean_final_goal_distance,mean_path_length,mean_control_effort,mean_planning_time_ms
mizuta_cfm_mppi,None,25,0.96,0.0,0.96,1.1871119594573976,0.900942325592041,0.0570954052079469,10.38762990951538,189.4008868408203,97.68155442783609
guided_safemppi,0.2,25,0.76,0.08,0.76,0.7752619004249572,0.748112678527832,0.6340942208468914,9.46381284713745,129.52508972167968,43.514032017905265
cfm_proposal_mppi,0.2,25,0.76,0.04,0.8,0.8675413334369659,0.804163932800293,0.672547754868865,9.690728740692139,148.14679412841798,110.87733014812694
