method,gamma,episodes,success_rate,collision_rate,goal_reached_rate,mean_min_clearance,median_min_clearance,mean_final_goal_distance,mean_path_length,mean_control_effort,mean_planning_time_ms
mizuta_cfm_mppi,None,25,0.92,0.0,0.92,1.159279727935791,0.8861063718795776,0.09243181716650724,10.691749114990234,185.5395358276367,95.84764724411072
mizuta_safe,0.1,25,0.88,0.0,0.88,1.2848737621307373,1.227921962738037,0.3687441565096378,10.819566841125487,168.41470108032226,97.06986792059612
mizuta_safe,0.2,25,0.88,0.04,0.92,1.186783961057663,1.0506535768508911,0.2828889601677656,10.161930694580079,172.75018585205078,97.32674400461835
mizuta_safe,0.4,25,0.92,0.04,0.92,1.1764598667621613,0.8920059204101562,0.36394857238978146,10.295216979980468,195.8577651977539,96.62062567379326
mizuta_safe,0.8,25,0.92,0.04,0.96,1.149714926481247,0.8954602479934692,0.08045131977647543,10.317410907745362,185.17599365234375,96.7320473571308
