method,gamma,episodes,success_rate,collision_rate,goal_reached_rate,mean_min_clearance,median_min_clearance,mean_final_goal_distance,mean_path_length,mean_control_effort,mean_planning_time_ms
mizuta_cfm_mppi,None,25,0.92,0.04,0.96,0.8248714053630829,0.6973700523376465,0.09030468357726931,9.427179336547852,161.21700103759767,96.65760058909655
guided_safemppi,0.2,25,0.64,0.08,0.64,0.6291363537311554,0.4701194167137146,0.937398093547672,8.640493249893188,115.0510154724121,43.5897915144451
cfm_proposal_mppi,0.2,25,0.68,0.08,0.68,0.6308423948287963,0.48576217889785767,1.2149674765765668,9.321071491241455,132.996962890625,110.30104102799669
