method,gamma,episodes,success_rate,collision_rate,goal_reached_rate,mean_min_clearance,median_min_clearance,mean_final_goal_distance,mean_path_length,mean_control_effort,mean_planning_time_ms
mizuta_cfm_mppi,None,25,1.0,0.0,1.0,1.0261362981796265,0.5969604253768921,0.080050247348845,10.54352466583252,176.30284790039062,96.31739200511947
guided_safemppi,0.3,25,0.84,0.0,0.84,0.8588742995262146,0.5784037113189697,0.43588984563946725,10.20625856399536,142.96721801757812,78.50120404921472
guided_safemppi,0.5,25,0.68,0.12,0.76,0.746213617324829,0.5093170404434204,0.36771300971508025,10.2602508354187,145.74704864501953,78.5311759551987
guided_safemppi,1.0,25,0.72,0.16,0.8,0.6833389246463776,0.4819868803024292,0.6613474467396736,9.987429370880127,154.11623657226562,78.486905682832
guided_adaptive,None,25,0.68,0.2,0.8,0.680180401802063,0.44838523864746094,0.4444012375175953,10.250904636383057,155.20916412353515,78.71197550976649
