method,gamma,episodes,success_rate,collision_rate,goal_reached_rate,mean_min_clearance,median_min_clearance,mean_final_goal_distance,mean_path_length,mean_control_effort,mean_planning_time_ms
mizuta_cfm_mppi,None,25,0.96,0.0,0.96,0.7944608402252197,0.5737262964248657,0.09987650815397502,9.390506019592285,152.85750061035156,96.16684286855161
mizuta_safe,0.1,25,0.88,0.04,0.88,1.033917623758316,0.7882868051528931,0.6175197046995163,9.443458194732665,147.72802947998048,96.88645202806221
mizuta_safe,0.2,25,0.88,0.0,0.88,0.9575463604927062,0.7649040222167969,0.25323994981125,9.601395206451416,158.95606658935546,96.63443625159562
mizuta_safe,0.4,25,1.0,0.0,1.0,0.8279445552825928,0.678234338760376,0.0806657733861357,9.345020446777344,146.02440536499023,96.93325807666405
mizuta_safe,0.8,25,0.92,0.04,0.96,0.9008787393569946,0.7631399631500244,0.15094890348613263,9.690322875976562,162.1520181274414,96.59480870282276
