method,gamma,episodes,success_rate,collision_rate,goal_reached_rate,mean_min_clearance,median_min_clearance,mean_final_goal_distance,mean_path_length,mean_control_effort,mean_planning_time_ms
mizuta_cfm_mppi,None,40,0.975,0.025,1.0,0.8727713018655777,0.6160162091255188,0.06558525586151517,10.284671103954315,172.6372802734375,96.10438252682799
guided_safemppi,0.2,40,0.775,0.075,0.775,0.8380835853517056,0.7166972756385803,0.805136170424521,9.739571833610535,126.0446928024292,52.75931219017366
guided_safemppi,0.3,40,0.75,0.05,0.75,0.788672587275505,0.6132560968399048,0.767387923039496,9.833482575416564,138.68132457733154,52.822172721207615
