method,gamma,episodes,success_rate,collision_rate,goal_reached_rate,mean_min_clearance,median_min_clearance,mean_final_goal_distance,mean_path_length,mean_control_effort,mean_planning_time_ms
mizuta_cfm_mppi,None,25,1.0,0.0,1.0,0.9547112655639648,0.5662621259689331,0.0770464144134894,10.552525539398193,191.85794677734376,102.14017019560562
guided_safemppi,0.3,25,0.76,0.04,0.76,0.7474364137649536,0.5134274959564209,0.4033590330183506,10.209007148742677,136.16343170166016,79.47957890992984
guided_safemppi,0.5,25,0.76,0.12,0.84,0.6927045524120331,0.41399484872817993,0.3649590665102005,10.200761070251465,144.8563201904297,79.77373399352653
guided_safemppi,1.0,25,0.88,0.08,0.96,0.6603257942199707,0.3586667776107788,0.25918357223272326,10.279431495666504,146.77799011230468,79.59622713411227
