method,gamma,episodes,success_rate,collision_rate,goal_reached_rate,mean_min_clearance,median_min_clearance,mean_final_goal_distance,mean_path_length,mean_control_effort,mean_planning_time_ms
mizuta_cfm_mppi,None,25,1.0,0.0,1.0,1.1955430555343627,1.1578068733215332,0.0376623706612736,9.875683326721191,170.60635330200196,99.77761227218433
guided_safemppi,0.2,25,0.76,0.08,0.76,0.8011808407306671,0.8655843734741211,1.0882024168223143,9.073097267150878,128.68436950683594,46.22556816320866
cfm_proposal_mppi,0.2,25,0.8,0.08,0.8,0.7898638224601746,0.8338457345962524,1.0110259021818637,9.128530807495117,137.55886138916014,112.36331668263301
