method,gamma,episodes,success_rate,collision_rate,goal_reached_rate,mean_min_clearance,median_min_clearance,mean_final_goal_distance,mean_path_length,mean_control_effort,mean_planning_time_ms
mizuta_cfm_mppi,None,25,0.92,0.04,0.96,0.7893851363658905,0.4627772569656372,0.10818934200331569,9.575400505065918,153.75121002197267,98.27799286600201
guided_safemppi,0.2,25,0.64,0.08,0.64,0.6291363537311554,0.4701194167137146,0.937398093547672,8.640493249893188,115.0510154724121,43.35582953179255
cfm_proposal_mppi,0.2,25,0.0,0.16,0.0,0.6928698420524597,0.7584096193313599,37.15907404899597,44.28187449455261,373.0697480773926,104.15736933052538
guided_drifting,None,25,0.0,0.08,0.0,0.7986104917526246,0.807979941368103,43.829388699531556,51.74986400604248,410.89753662109376,3.947307588532568
