method,gamma,episodes,success_rate,collision_rate,goal_reached_rate,mean_min_clearance,median_min_clearance,mean_final_goal_distance,mean_path_length,mean_control_effort,mean_planning_time_ms
mizuta_cfm_mppi,None,25,1.0,0.0,1.0,1.1075328302383423,0.7338281869888306,0.04109273996204138,10.083538284301758,160.68383819580077,94.98784059006721
guided_safemppi,0.2,25,0.84,0.04,0.84,0.8028824877738953,0.6477383375167847,0.36225514315068724,9.731302604675292,128.74715881347657,43.41291832458228
cfm_proposal_mppi,0.2,25,0.0,0.0,0.0,1.114407892227173,0.821955680847168,45.752887253761294,53.632532348632814,421.2666134643555,104.03680738992989
guided_drifting,None,25,0.0,0.12,0.0,0.7972333717346192,0.670552134513855,41.47055468559265,49.662449493408204,425.68037109375,3.9588332674466074
