method,gamma,episodes,success_rate,collision_rate,goal_reached_rate,mean_min_clearance,median_min_clearance,mean_final_goal_distance,mean_path_length,mean_control_effort,mean_planning_time_ms
mizuta_cfm_mppi,None,20,0.65,0.0,0.65,0.27320959568023684,0.24576467275619507,0.8396392783150077,12.104171419143677,241.36037368774413,98.26310044038108
guided_safemppi,0.2,20,0.0,0.75,0.0,-0.11970703601837158,-0.2242433875799179,4.357673412561416,6.126464557647705,180.82197189331055,43.3581191446865
cfm_proposal_mppi,0.2,20,0.0,0.55,0.0,-0.06332370042800903,-0.03471866250038147,6.367984580993652,8.192958498001099,203.38178977966308,103.72357119049411
guided_drifting,None,20,0.0,0.6,0.0,-0.021963834762573242,-0.08716902136802673,7.171008098125458,11.510644340515137,322.7791465759277,4.527959644910879
