method,gamma,episodes,success_rate,collision_rate,goal_reached_rate,mean_min_clearance,median_min_clearance,mean_final_goal_distance,mean_path_length,mean_control_effort,mean_planning_time_ms
mizuta_cfm_mppi,None,100,0.99,0.0,0.99,0.9725069272518158,0.7339165210723877,0.06215826004976407,10.388331265449525,184.59920570373535,89.47473811113741
safemppi_gamma,0.2,100,0.39,0.61,1.0,0.2549674668908119,-0.1406535655260086,0.14077796794939787,9.947328281402587,108.26025993347167,35.751106193754815
safemppi_gamma,0.3,100,0.4,0.6,0.99,0.25773000180721284,-0.12693963944911957,0.14058036549948155,9.96122766494751,108.34251922607422,35.78207697137258
guided_safemppi,0.2,100,0.74,0.12,0.76,0.7503931465744972,0.6371387839317322,0.7072927291877568,9.735675520896912,133.54622993469238,50.979174762032926
guided_safemppi,0.3,100,0.7,0.12,0.73,0.6996874061226844,0.5564444661140442,0.659748485321179,9.796436114311218,141.45728942871094,50.99378686444834
